Time,Acelerometer,Gyroscope,Magnetometer
00:29:14,"[-0.073242, 0.017822, 0.986816]","[0.88501, -0.366211, 0.0]","[61.606166, 58.59333, -74.044071]"
00:29:15,"[-0.068604, 0.02124, 0.990723]","[1.037598, -0.335693, 0.305176]","[62.852534, 59.129245, -71.805529]"
00:29:16,"[-0.074463, 0.023193, 0.99292]","[1.068115, -0.396729, 0.030518]","[61.606166, 58.59333, -73.010897]"
00:29:17,"[-0.069092, 0.022705, 1.001221]","[1.068115, -0.183105, 0.091553]","[61.962271, 57.878777, -73.355288]"
00:29:18,"[-0.074951, 0.018799, 0.990234]","[1.12915, -0.030518, 0.12207]","[61.784219, 59.486521, -72.838702]"
00:29:19,"[-0.068848, 0.017578, 0.991211]","[1.037598, -0.335693, 0.030518]","[62.318376, 58.236054, -74.044071]"
00:29:20,"[-0.074219, 0.02124, 0.991943]","[1.220703, -0.427246, 0.091553]","[63.030586, 58.950607, -73.355288]"
00:29:21,"[-0.069092, 0.022705, 0.995117]","[1.190186, -0.427246, -0.183105]","[60.715904, 58.771968, -72.494311]"
00:29:22,"[-0.071289, 0.019531, 0.992188]","[1.098633, -0.518799, -0.12207]","[61.784219, 57.700139, -73.871875]"
00:29:23,"[-0.059814, 0.030762, 0.991699]","[1.312256, -0.091553, -0.091553]","[62.318376, 58.59333, -72.322115]"
00:29:24,"[-0.071045, 0.023926, 0.987061]","[1.098633, -0.366211, 0.213623]","[62.140324, 58.771968, -72.494311]"
00:29:25,"[-0.07373, 0.020996, 0.988525]","[0.701904, -0.305176, 0.091553]","[62.852534, 58.771968, -72.494311]"
00:29:26,"[-0.06958, 0.020752, 0.994873]","[0.915527, -0.12207, 0.152588]","[61.250061, 60.022436, -72.666506]"
00:29:27,"[-0.071777, 0.017578, 1.0]","[1.312256, -0.335693, 0.091553]","[62.674481, 57.521501, -71.633333]"
00:29:28,"[-0.071045, 0.02124, 0.994141]","[1.12915, -0.061035, 0.091553]","[63.386691, 58.236054, -71.977724]"
00:29:29,"[-0.071777, 0.022217, 0.993652]","[0.976562, -0.213623, -0.061035]","[61.784219, 58.414692, -73.527484]"
00:29:30,"[-0.071777, 0.022705, 0.996094]","[0.976562, -0.366211, 0.152588]","[63.386691, 58.950607, -71.977724]"
00:29:31,"[-0.071289, 0.019775, 0.999268]","[1.098633, -0.488281, -0.274658]","[62.140324, 57.700139, -71.805529]"
00:29:32,"[-0.070557, 0.019531, 0.992188]","[1.12915, -0.518799, 0.183105]","[61.250061, 58.59333, -72.322115]"
00:29:33,"[-0.07373, 0.020752, 0.993408]","[1.00708, -0.091553, 0.274658]","[61.250061, 57.878777, -71.288942]"
00:29:34,"[-0.077881, 0.021729, 0.990234]","[1.00708, -0.457764, -0.030518]","[63.386691, 58.59333, -73.010897]"
00:29:35,"[-0.071533, 0.016846, 0.991699]","[0.823975, -0.488281, 0.0]","[62.140324, 58.771968, -73.183093]"
00:29:36,"[-0.077637, 0.021484, 0.990967]","[0.854492, -0.244141, 0.12207]","[61.606166, 58.950607, -73.010897]"
00:29:37,"[-0.074463, 0.022217, 0.999268]","[1.12915, -0.396729, 0.061035]","[62.674481, 57.521501, -72.322115]"
00:29:38,"[-0.072998, 0.019531, 0.995117]","[0.915527, -0.488281, -0.061035]","[60.181746, 58.59333, -71.633333]"
00:29:39,"[-0.075439, 0.021729, 0.991211]","[1.068115, -0.427246, -0.091553]","[61.606166, 58.950607, -72.322115]"
00:29:40,"[-0.074951, 0.020996, 0.985352]","[1.220703, -0.091553, 0.030518]","[62.496429, 59.843798, -71.461138]"
00:29:41,"[-0.070312, 0.021973, 0.998535]","[0.88501, -0.396729, 0.183105]","[61.250061, 59.665159, -71.633333]"
00:29:42,"[-0.075195, 0.020264, 1.000244]","[1.12915, -0.152588, 0.091553]","[60.893956, 57.878777, -71.288942]"
00:29:43,"[-0.072998, 0.021973, 0.997314]","[1.220703, -0.457764, 0.152588]","[60.537851, 57.878777, -71.977724]"
00:29:44,"[-0.074707, 0.022705, 0.991943]","[1.098633, -0.488281, -0.061035]","[62.496429, 58.771968, -71.805529]"
00:29:45,"[-0.074219, 0.018555, 0.997559]","[1.068115, -0.213623, 0.091553]","[61.428114, 56.985586, -70.427965]"
00:29:47,"[-0.073975, 0.020508, 0.991699]","[1.068115, -0.183105, -0.030518]","[62.318376, 58.236054, -73.355288]"
